Date,Open,High,Low,Close,Volume_(Currency),AO,AC,BB_top,BB_middle,BB_bottom,RSI,MFI,MA,MSTD,MACD
2018-10-25 06:10:00,6395.0,6395.0,6394.99,6394.99,3517.2565216,1.5394999999980428,0.5587499999995998,,6391.726499999999,,91.1238124322476,2.843125014853702e-06,,,0.0
2018-10-25 06:20:00,6398.0,6398.01,6398.0,6398.01,491.08264694,2.5677500000010696,1.4030000000020664,,6391.958499999999,,93.7948904185365,2.036317117399603e-05,,,0.0
2018-10-25 06:30:00,6399.79,6400.0,6399.79,6399.99,9830.7238934,3.663749999999709,1.9626500000002125,,6392.234999999999,,94.86195894264284,2.1361600862477985e-05,,,0.0
2018-10-25 06:40:00,6400.11,6400.12,6400.11,6400.12,8228.4412672,4.460999999997512,1.9323999999985968,,6392.680999999999,,94.92230707634735,1.2152970016423426e-06,,,0.0
2018-10-25 06:50:00,6394.95,6394.96,6394.95,6394.95,5262.6861626,4.573499999996784,1.2123999999981607,,6392.9479999999985,,63.634144052446224,1.9001703106076603e-06,,,0.0
2018-10-25 07:00:00,6398.93,6398.93,6398.92,6398.93,1043.5669621,4.6614999999956135,0.6759999999974751,,6393.693999999999,,71.30002712386022,9.582518768220673e-06,,,0.0
2018-10-25 07:10:00,6400.9,6400.91,6400.9,6400.9,850.35486144,4.696499999995467,0.2852499999984506,,6394.238999999999,,74.14024897645925,1.1759796355234767e-05,,,0.0
2018-10-25 07:20:00,6400.01,6400.01,6400.0,6400.01,3575.853774,4.167999999997846,-0.3440999999987984,,6394.789999999999,,70.80788393855427,2.796534934657616e-06,,,0.0
2018-10-25 07:30:00,6398.79,6398.79,6398.78,6398.79,2985.2311397,3.512499999999818,-0.8098999999972873,,6395.1794999999975,,66.49531737710525,3.349824362753775e-06,,,0.0
2018-10-25 07:40:00,6398.01,6398.01,6398.0,6398.01,2900.8190601,3.782500000002983,-0.3816999999953623,,6395.52,,63.87707189968697,3.4473022250045294e-06,,,0.0
2018-10-25 07:50:00,6398.0,6398.01,6398.0,6398.0,2942.0297117,3.4325000000062573,-0.485899999994217,,6395.6855,,63.84314724943609,3.399013939407143e-06,,,0.0
2018-10-25 08:00:00,6400.15,6400.16,6400.15,6400.15,14065.280897999999,2.8885000000063883,-0.6682999999962704,,6396.0925,,67.72270614795232,7.109705147545414e-07,,,0.0
2018-10-25 08:10:00,6401.02,6401.02,6401.01,6401.02,828.5580091,2.739500000006956,-0.5315999999975247,,6396.4434999999985,,69.13341533503547,1.2069160988595744e-05,,,0.0
2018-10-25 08:20:00,6401.02,6401.02,6401.01,6401.01,1523.5825147,2.83450000000812,-0.30099999999802085,,6396.794499999999,,69.09687639575351,6.563477792462933e-06,,,0.21966371994228565
